Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,A,0,NLFS,SL_EMP_FTLINJUR,,F,PT,0
2016,A,0,NLFS,SL_EMP_FTLINJUR,,F,PT,0
2017,A,0,NLFS,SL_EMP_FTLINJUR,,F,PT,0
2018,A,0,NLFS,SL_EMP_FTLINJUR,,F,PT,2
2019,A,0,NLFS,SL_EMP_FTLINJUR,,F,PT,10
2020,A,0,NLFS,SL_EMP_FTLINJUR,,F,PT,1
2015,A,0,NLFS,SL_EMP_FTLINJUR,,M,PT,39
2016,A,0,NLFS,SL_EMP_FTLINJUR,,M,PT,5
2017,A,0,NLFS,SL_EMP_FTLINJUR,,M,PT,2
2018,A,0,NLFS,SL_EMP_FTLINJUR,,M,PT,9
2019,A,0,NLFS,SL_EMP_FTLINJUR,,M,PT,0
2020,A,0,NLFS,SL_EMP_FTLINJUR,,M,PT,1
